id;taille_agglo
108582854647903;5
108582854649954;4
108582855340158;1
108582855449686;4
108582855917667;4
108582856084563;1
108582856096872;2
108582856113270;3
108582856117370;1
108582856176723;2
108582856203375;1
108582856415285;1
108582856486929;1
108582856666163;5
108582856752143;3
108582856772654;4
108582857029734;5
108582857123849;1
108582857227354;1
108582857309256;4
108582857314379;2
108582857386014;1
108582857512993;4
108582858314779;1
108582858328105;3
108582854605902;2
108582854644824;5
108582854645849;3
108582854645851;4
108582854648929;1
108582854689892;3
108582854733928;4
108582854770798;2
108582854778998;3
108582854780025;4
108582854846586;1
108582854847613;2
108582854855685;4
108582854856711;2
108582854959120;4
108582854984727;2
108582854990878;4
108582855089189;3
108582855227438;5
108582855229493;3
108582855230519;4
108582855232571;4
108582855237695;5
108582855238722;4
108582855243851;4
108582855244879;2
108582855250004;4
108582855255125;5
108582855256154;5
108582855257181;3
108582855321700;4
108582855324773;4
108582855325799;5
108582855325802;4
108582855327857;1
108582855328882;5
108582855328884;3
108582855343105;5
108582855375881;3
108582855386123;5
108582855386127;3
108582855395347;3
108582855411749;2
108582855411750;4
108582855425078;5
108582855426105;5
108582855429179;2
108582855438400;2
108582855438401;4
108582855438402;4
108582855441479;5
108582855444555;5
108582855444557;4
108582855445582;5
108582855456868;4
108582855457899;3
108582855458926;1
108582855469057;4
108582855477252;3
108582855477253;2
108582855487498;4
108582855488525;1
108582855498785;5
108582855498787;4
108582855499813;4
108582855499815;4
108582855503916;4
108582855515194;4
108582855517247;1
108582855532622;3
108582855550032;5
108582855567455;2
108582855568482;5
108582855568483;2
108582855631982;5
108582855636080;5
108582855643251;2
108582855643252;5
108582855644278;1
108582855644281;1
108582855650428;2
108582855654401;5
108582855656451;5
108582855675914;2
108582855696400;2
108582855696401;3
108582855697429;4
108582855708704;5
108582855755822;4
108582855762998;1
108582855764023;3
108582855774280;4
108582855780428;2
108582855781455;4
108582855789652;5
108582855790681;4
108582855806049;4
108582855810148;1
108582855811178;4
108582855813231;5
108582855813232;1
108582855818356;4
108582855818357;3
108582855827577;4
107417525213205;1
108582855838729;3
108582855838730;2
108582855845909;4
108582855854103;4
108582855856157;3
108582855856158;1
108582855862309;5
108582855863337;4
108582855864363;4
108582855869485;4
108582855871535;5
108582855874613;4
108582855878710;5
108582855883836;3
108582855891011;2
108582855899206;2
108582855903304;1
108582855904331;4
108582855904332;5
108582855908436;4
108582855908437;4
108582855909462;4
108582855914593;5
108582855925866;4
108582855925867;4
108582855927921;3
108582855932020;4
108582855932022;5
108582855933048;2
108582855938048;3
108582855941122;5
108582855941123;2
108582855975952;2
108582855976979;1
108582855996436;4
108582856009761;4
108582856013861;3
108582856014887;5
108582856014888;5
108582856014889;5
108582856014890;1
108582856018987;4
108582856034363;2
108582856079442;4
108582856092762;3
108582856093791;3
108582856094817;5
108582856096871;5
108582856116344;1
108582856127492;3
108582856127493;3
108582856128521;1
108582856136721;2
108582856140821;5
108582856143895;1
108582856146968;4
108582856149024;3
108582856149025;1
108582856150050;5
108582856150052;5
108582856156197;5
108582856160298;5
108582856161326;5
108582856161327;4
108582856161328;4
108582856162353;2
108582856163383;5
108582856165432;1
108582856166460;5
108582856168514;5
108582856169540;1
108582856174669;3
108582856175697;4
108582856181846;4
108582856182871;4
108582856196192;1
108582856196194;1
108582856197220;5
108582856202346;4
108582856207478;4
108582856237060;4
108582856239111;5
108582856239112;4
108582856240140;1
108582856246289;1
108582856247314;5
108582856248342;5
108582856250393;4
108582856261664;4
108582856262690;4
108582856265766;2
108582856265767;4
108582856266795;4
108582856270892;1
108582856273973;5
108582856281150;4
108582856282179;3
108582856283207;2
108582856298578;2
108582856303699;4
108582856305751;5
108582856313951;1
108582856337509;4
108582856340589;1
108582856368247;4
108582856368249;4
108582856376322;3
108582856377351;4
108582856378377;4
108582856392723;5
108582856393750;4
108582856398874;2
108582856405025;3
108582856405026;3
108582856406051;2
108582856406052;4
108582856407078;4
108582856410155;5
108582856415288;3
108582856416315;5
108582856417342;5
108582856419397;4
108582856426566;4
108582856431689;1
108582856442976;2
108582856467580;3
108582856470533;4
108582856490009;1
108582856507437;4
108582856515638;5
108582856515639;4
108582856521790;1
108582856524865;2
108582856524867;3
108582856524868;5
108582856526920;2
108582856526923;1
108582856528978;1
108582856530003;5
108582856530005;3
108582856531032;4
108582856533087;4
108582856558691;4
108582856560744;4
108582856562799;4
108582856562800;4
108582856571007;4
108582856581127;3
108582856582154;4
108582856590353;5
108582856592407;3
108582856599582;4
108582856609841;4
108582856614967;5
108582856622151;5
108582856623177;1
108582856628317;2
108582856629343;5
108582856638578;2
108582856640633;2
108582856641663;5
108582856641536;4
108582856645637;2
108582856646667;1
108582856648720;3
108582856666164;5
108582856713309;5
108582856730741;5
108582856738816;4
108582856768551;2
108582856782909;4
108582856783937;1
108582856795210;4
108582856801368;3
108582856810601;2
108582856821880;1
108582856821881;5
108582856862733;4
108582856862735;5
108582856879138;5
108582856879141;4
108582856891441;3
108582856905789;1
108582856912966;4
108582856918087;4
108582856919114;4
108582856923224;4
108582856926307;1
108582856927334;4
108582856927336;1
108582856932471;4
108582856934523;3
108582856935550;2
108582856979480;3
108582856990767;2
108582857004110;4
108582857005138;4
108582857024601;1
108582857029735;4
108582857032811;4
108582857037949;4
108582857051148;5
108582857052176;1
108582857072697;1
108582857075774;1
108582857105506;1
108582857107561;1
108582857116785;5
108582857122823;5
108582857156641;4
108582857188410;5
108582857220173;5
108582857221199;5
108582857231453;4
108582857232480;1
108582857233508;5
108582857238648;1
108582857245703;4
108582857246730;5
108582857251857;4
108582857254942;4
108582857262113;1
108582857277483;2
108582857283630;4
108582857301060;4
108582857302086;5
108582857309258;3
108582857314380;4
108582857342048;2
108582857344100;1
108582857349229;4
108582857350256;4
108582857351284;5
108582857355391;4
108582857360393;5
108582857361418;5
108582857382940;5
108582857382941;2
108582857391140;5
108582857413700;3
108582857418827;4
108582857421910;1
108582857435243;2
108582857435244;3
108582857482358;4
108582857487480;4
108582857495677;4
108582857514019;2
108582857529387;4
108582857546832;1
108582857548884;4
108582857578499;2
108582857584646;5
108582857591835;3
108582857591837;4
108582857592864;1
108582857603127;5
108582857625684;1
108582857625685;2
108582857626710;4
108582857678862;3
108582857679892;3
108582857688098;1
108582857692215;5
108582857700419;1
108582857724007;2
108582857735291;4
108582857737343;4
108582857759776;2
108582857785398;1
108582857785399;3
108582857801808;4
108582857807958;5
108582857814122;1
108582857818113;4
108582857829395;4
108582857846819;3
108582857860157;2
108582857877588;4
108582857893996;3
108582857907320;1
108582857908347;4
108582857927691;2
108582857935897;3
108582857954356;4
108582857955385;1
108582858038319;5
108582858052680;2
108582858070128;5
108582858070129;4
108582858089483;4
108582858139770;5
108582858139771;4
108582858147855;3
108582858156067;2
108582858190910;1
108582858215524;3
108582858219635;3
108582858265679;1
108582858265684;2
108582858292233;4
108582858306574;2
108582858321950;1
108582858400831;3
108582858428417;2
108582858450977;4
108582858460260;3
108582858526781;1
108582858528846;3
108582858576951;4
108582858736710;4
108582858849281;1
108582858862620;2
108582858942474;4
108582858984496;1
108582858987580;3
108582859061366;4
108582859080734;5
108582859139192;1
108582859171874;1
108582859171876;4
